Question,High-level domain,education_level
"According to the kin selection theory, how does the risk incurred by a bird that sounds an alarm call due to a nearby predator get offset?",biology,high_school
"A plant that possesses swimming sperm, xylem with tracheids, independent gametophyte and sporophyte phases, and no seeds is probably most closely related to which group of plants?",biology,high_school
"Identify the characteristic that is NOT associated with an oligotrophic lake from the following list: low nutrient levels, high altitudes, shallow water, or a sand or gravel bottom.",biology,high_school
Explain the specific embryological feature shared by echinoderms and chordates that provides evidence for their closer evolutionary relationship compared to snails.,biology,high_school
"Explain why the statement that elastin is a globular protein found in connective tissue is incorrect, considering its actual secondary structure and role in the extracellular matrix of tissues.",biology,high_school
"In cloning experiments on the frog Xenopus laevis, nuclei were removed from intestinal cells of tadpoles and transplanted into zygotes whose nuclei had been removed. A small percent of these zygotes developed into normal frogs. What does this result suggest about the genomes of somatic cells?",biology,high_school
Identify the specific set of reactions that occurs in the stroma of the chloroplast in plant cells.,biology,high_school
What structure provides visual evidence of genetic recombination during meiosis?,biology,high_school
"Describe the sequence of events during the separation of the elements of Pangaea through continental drift, specifically identifying which event occurred first among the formation of Gondwana and Laurasia, the separation of Africa from South America, the collision of India with Eurasia to form the Himalayan mountain chain, and the separation of Australia from the rest of the continental landmasses.",biology,high_school
"Identify the specific trait that is shared by both prokaryotes and eukaryotes from the following options: a single chromosome carrying the entire genome, circular chromosomes, bidirectional replication, or comparable molecular weight of respective DNA.",biology,high_school
"Describe the specific procedures required to clone specific mRNA molecules, and identify which of the following is NOT a necessary step: extracting mRNA from cells, cleaving the full genome of a cell into fragments, creating a cDNA molecule, or converting single-stranded cDNA into double-stranded cDNA.",biology,college
Describe the physical state and color of bromine (Br2) at standard temperature and pressure.,chemistry,high_school
Identify the isomer of C6H14 that exhibits exactly three distinct chemical shifts in its 13C NMR spectrum.,chemistry,college
"The Rydberg equation v = R_H(1/n_1^2 - 1/n_2^2) accurately predicts the UV-visible emission spectrum of the hydrogen atom. A form of this equation may also be used to predict the UV-visible emission for all of the following species EXCEPT the hydride ion (H−), the deuterium atom (D), the tritium atom (T), or the helium cation (He+)?",chemistry,college
"When D-xylose is reduced with sodium borohydride (NaBH4), what type of product is formed?",chemistry,college
Calculate the polarization of a proton in a magnetic field of 0.335 T and 10.5 T at a temperature of 298 K.,chemistry,college
"Identify the acid anhydride of barium hydroxide, Ba(OH)2.",chemistry,high_school
"Explain why a 1 M solution of TEMPO in chloroform at room temperature exhibits a broader EPR spectrum compared to a 1 mM solution, focusing on the specific molecular interaction responsible for this line broadening in the concentrated sample.",chemistry,college
A set of hybrid sp³ orbitals for a carbon atom is given. Which of the following statements is NOT true about these orbitals? Explain your reasoning based on the properties of sp³ hybridization.,chemistry,high_school
"Explain the physical process responsible for producing characteristic X rays, which appear as sharp lines on a continuous background when high-energy electrons bombard a metal target.",physics,high_school
"Two students perform an experiment in which they drop a ball from rest from a known height above the ground and measure the speed of the ball just before it strikes the ground. From repeated measurements, the students estimate the uncertainty in the measured speed of the ball to be 10 percent. Assuming the uncertainty in the ball's mass is negligibly small, what is the uncertainty in the kinetic energy of the ball?",physics,high_school
Calculate the rest mass of a particle that has a total energy of 5.0 GeV and a momentum of 4.9 GeV/c.,physics,college
A grating spectrometer can just barely resolve two wavelengths of 500 nm and 502 nm. Calculate the resolving power of this spectrometer.,physics,college
"When a nucleus emits electromagnetic radiation, which form of radiation is it most likely to be?",physics,high_school
"For an ideal gas, identify the thermodynamic process in which the increase in internal energy is equal to the heat added to the gas.",physics,high_school
An ideal monatomic gas expands quasi-statically to twice its initial volume. Compare the work done by the gas in an isothermal process (Wi) to the work done in an adiabatic process (Wa). Which relationship correctly describes the values of Wi and Wa?,physics,college
"The hydrogen lines observed in the spectrum of the quasar 3C9 are shifted so far into the red that their wavelengths are three times as long as those observed in the light from hydrogen atoms at rest in a laboratory on Earth. If it is assumed that the shift is entirely due to the relative motion of 3C9 and Earth, what is the relative speed of the quasar?",physics,college
"For an ideal gas of atoms in equilibrium at temperature T described by the Maxwell-Boltzmann distribution, evaluate the following statements: I. The average velocity of the atoms is zero. II. The distribution of the speeds of the atoms has a maximum at v = 0. III. The probability of finding an atom with zero kinetic energy is zero. Which of these statements are true?",physics,college
"A 1,200 Hz warning siren on a town hall sounds during a hurricane. The wind is blowing at 55 m/s in a direction from the siren toward a person located 1 km away. Given that the speed of sound in air is 330 m/s, calculate the frequency of the sound wave as it reaches the person.",physics,high_school
"Fermat's principle of ray optics states that a ray of light follows the path between two points which requires the least time. Using this principle, which of the following can be derived: I. Snell's law of refraction, II. The law of reflection, or III. Rayleigh's criterion for resolution?",physics,college
